Reported_Date,Region,Cumulative_Number_of_Tests_as_of_Reported_Date,Cumulative_Number_of_Positive_Tests_as_of_Reported_Date,Cumulative_Number_of_Negative_Tests_as_of_Reported_Date,Total_Number_of_Pending_Tests_on_Reported_Date,Total_Number_of_Unknown_Tests_on_Reported_Date,Total_Inmates_that_Refused_Swab_as_of_Reported_Date,Total_Inmates_on_Medical_Isolation_as_of_Reported_Date
5/8/2020,Central,330,153,140,30,7,,222
5/8/2020,Eastern,84,1,76,7,0,,63
5/8/2020,Northern,72,2,63,4,3,,9
5/8/2020,Toronto,109,7,90,10,2,,70
5/8/2020,Western,82,0,62,17,3,,64
5/11/2020,Central,483,154,205,116,8,,223
5/11/2020,Eastern,223,1,205,17,0,,40
5/11/2020,Northern,140,2,101,35,2,,11
5/11/2020,Toronto,121,7,101,11,2,,73
5/11/2020,Western,154,0,111,38,5,,52
5/12/2020,Central,525,161,264,92,8,,223
5/12/2020,Eastern,227,1,207,19,0,,38
5/12/2020,Northern,154,2,107,44,1,,22
5/12/2020,Toronto,121,7,101,11,2,,73
5/12/2020,Western,154,0,112,37,5,,36
5/13/2020,Central,527,161,264,94,8,,197
5/13/2020,Eastern,230,1,221,8,0,,10
5/13/2020,Northern,170,2,130,37,1,,25
5/13/2020,Toronto,165,8,124,17,16,,77
5/13/2020,Western,154,0,114,37,3,,23
5/14/2020,Central,549,162,289,90,8,,200
5/14/2020,Eastern,235,1,224,10,0,,9
5/14/2020,Northern,176,2,135,38,1,,31
5/14/2020,Toronto,170,8,126,19,17,,76
5/14/2020,Western,161,0,123,35,3,,23
5/15/2020,Central,550,163,300,79,8,,201
5/15/2020,Eastern,242,1,227,14,0,,14
5/15/2020,Northern,180,2,140,37,1,,40
5/15/2020,Toronto,182,8,149,9,16,,76
5/15/2020,Western,200,0,157,40,3,,22
5/19/2020,Central,625,165,373,81,6,,196
5/19/2020,Eastern,344,2,320,22,0,,17
5/19/2020,Northern,203,2,156,44,1,,17
5/19/2020,Toronto,193,8,154,15,16,,78
5/19/2020,Western,222,0,179,40,3,,24
5/20/2020,Central,642,167,394,73,8,,103
5/20/2020,Eastern,375,2,338,35,0,,26
5/20/2020,Northern,224,2,188,34,0,,17
5/20/2020,Toronto,193,8,158,11,16,,77
5/20/2020,Western,225,0,184,38,3,,24
5/21/2020,Central,663,169,370,115,9,,99
5/21/2020,Eastern,380,2,353,23,2,,25
5/21/2020,Northern,232,2,198,32,0,,9
5/21/2020,Toronto,237,9,186,19,23,,81
5/21/2020,Western,252,0,213,36,3,,27
5/22/2020,Central,702,169,467,57,9,,119
5/22/2020,Eastern,406,2,377,25,2,,14
5/22/2020,Northern,240,2,205,33,0,,12
5/22/2020,Toronto,266,10,202,24,30,,90
5/22/2020,Western,275,0,234,37,4,,33
5/25/2020,Central,744,169,502,63,4,6,118
5/25/2020,Eastern,554,2,457,81,0,168,30
5/25/2020,Northern,267,2,238,25,0,2,14
5/25/2020,Toronto,307,10,208,25,17,13,91
5/25/2020,Western,287,0,243,40,3,1,31
5/26/2020,Central,747,169,523,52,3,8,117
5/26/2020,Eastern,714,2,501,211,0,412,30
5/26/2020,Northern,272,2,238,32,0,10,10
5/26/2020,Toronto,395,10,275,107,3,655,94
5/26/2020,Western,288,0,259,25,4,29,28
5/27/2020,Central,802,169,528,102,3,77,118
5/27/2020,Eastern,752,2,629,121,0,416,13
5/27/2020,Northern,282,2,251,29,0,3,15
5/27/2020,Toronto,499,10,282,204,3,839,90
5/27/2020,Western,306,0,269,33,4,1,29
5/28/2020,Central,825,170,578,74,3,102,123
5/28/2020,Eastern,762,2,653,107,0,418,13
5/28/2020,Northern,285,2,256,27,0,3,12
5/28/2020,Toronto,510,10,314,182,4,843,91
5/28/2020,Western,325,0,290,29,6,1,29
5/29/2020,Central,855,170,637,75,3,103,104
5/29/2020,Eastern,796,2,682,112,0,420,25
5/29/2020,Northern,291,2,261,28,0,3,7
5/29/2020,Toronto,511,11,315,182,3,845,90
5/29/2020,Western,341,1,299,36,5,1,28
6/1/2020,Central,855,170,637,75,3,103,107
6/1/2020,Eastern,808,2,686,120,0,420,42
6/1/2020,Northern,311,2,279,29,1,6,11
6/1/2020,Toronto,499,11,415,70,3,864,90
6/1/2020,Western,364,1,318,41,4,1,36
6/2/2020,Central,913,170,687,53,3,105,88
6/2/2020,Eastern,869,2,788,78,1,423,14
6/2/2020,Northern,336,2,298,36,0,17,8
6/2/2020,Toronto,513,11,415,83,4,864,84
6/2/2020,Western,394,1,328,62,3,50,36
6/3/2020,Central,920,170,708,39,3,106,82
6/3/2020,Eastern,967,2,802,160,3,602,41
6/3/2020,Northern,348,2,300,46,0,92,11
6/3/2020,Toronto,518,11,417,86,4,867,100
6/3/2020,Western,549,1,330,215,3,399,31
6/4/2020,Central,932,171,712,43,6,108,80
6/4/2020,Eastern,976,2,815,155,4,605,46
6/4/2020,Northern,381,2,303,76,0,16,10
6/4/2020,Toronto,520,11,420,86,3,684,98
6/4/2020,Western,591,1,356,231,3,400,29
6/7/2020,Central,981,171,770,32,8,111,90
6/7/2020,Eastern,1008,2,928,71,7,598,11
6/7/2020,Northern,401,4,347,50,0,90,56
6/7/2020,Toronto,527,11,429,85,2,867,21
6/7/2020,Western,654,1,527,119,7,440,26
6/8/2020,Central,1051,171,779,89,12,217,72
6/8/2020,Eastern,1036,2,940,88,6,599,14
6/8/2020,Northern,466,4,370,92,0,183,58
6/8/2020,Toronto,606,12,448,144,2,933,33
6/8/2020,Western,658,1,528,122,7,442,27
6/9/2020,Central,1084,172,802,98,12,217,72
6/9/2020,Eastern,1091,2,966,117,6,703,15
6/9/2020,Northern,527,4,415,107,1,179,61
6/9/2020,Toronto,614,12,456,144,2,935,28
6/9/2020,Western,670,1,552,110,7,445,35
6/10/2020,Central,1179,172,875,119,13,221,76
6/10/2020,Eastern,1113,2,1026,79,6,702,11
6/10/2020,Northern,554,4,420,129,1,255,51
6/10/2020,Toronto,554,12,510,28,4,942,26
6/10/2020,Western,714,1,575,131,7,445,40
6/11/2020,Central,1206,172,874,149,11,219,80
6/11/2020,Eastern,1116,2,1043,66,5,704,8
6/11/2020,Northern,567,4,453,109,1,263,61
6/11/2020,Toronto,568,12,514,38,4,944,103
6/11/2020,Western,729,2,652,67,8,445,59
6/12/2020,Central,1240,172,912,144,12,221,54
6/12/2020,Eastern,1140,2,1060,72,6,704,9
6/12/2020,Northern,587,4,537,45,1,259,70
6/12/2020,Toronto,581,12,519,46,4,944,18
6/12/2020,Western,803,2,660,132,9,447,50
6/15/2020,Central,1281,172,1014,82,13,221,61
6/15/2020,Eastern,1177,2,1086,83,6,708,11
6/15/2020,Northern,610,4,558,47,1,259,72
6/15/2020,Toronto,595,13,523,55,4,950,21
6/15/2020,Western,822,2,723,89,8,448,51
6/16/2020,Central,1309,172,1058,65,14,298,74
6/16/2020,Eastern,1204,2,1094,102,6,709,8
6/16/2020,Northern,629,4,575,49,1,259,79
6/16/2020,Toronto,615,13,530,68,4,959,15
6/16/2020,Western,837,2,733,93,9,449,43
